Number of active threads,Average HTTP Request,HTTP Request
2,,412.0
3,,411.0
4,,411.0
5,,412.0
6,,455.0
7,,412.0
8,,474.0
9,,476.0
10,,414.0
11,,416.5
12,,417.5
13,,418.0
14,,418.5
15,,441.5
16,,423.0
17,,424.5
18,,430.0
19,,428.5
20,,429.3333333333333
21,,431.3333333333333
22,,463.0
23,,504.0
24,,442.6666666666667
25,,442.3333333333333
26,,452.0
27,,449.6666666666667
28,,451.6666666666667
29,,494.3333333333333
30,,459.25
31,,463.5
32,,467.0
33,,474.0
34,,525.5
35,,477.5
36,,496.5
37,,583.25
38,,526.0
39,,600.25
40,,499.4
41,,552.0
42,,515.4
43,,597.5
44,,571.5
45,,545.6
46,,621.0
47,,595.6
48,,570.0
49,,546.8333333333334
50,,622.0
51,,595.3333333333334
52,,568.4
53,,646.3333333333334
54,,618.6666666666666
55,,593.0
57,,652.7692307692307
58,,618.0
60,,662.25
61,,662.4
62,,693.6363636363636
64,,666.8571428571429
65,,653.3333333333334
66,,651.0
67,,809.875
68,,664.7142857142857
69,,820.9
70,,893.75
71,,740.2222222222222
72,,1117.642857142857
73,,941.3
74,,680.6
75,,1123.1666666666667
76,,744.4
77,,885.2
78,,898.4
79,,842.1
80,,911.5555555555555
81,,779.5555555555555
82,,787.3333333333334
83,,798.0
84,,888.9
85,,947.5454545454545
86,,852.4
87,,915.4
88,,863.4
89,,1028.6363636363637
90,,1300.0833333333333
91,,985.9166666666666
92,,1173.6842105263158
93,,879.8333333333334
94,,1167.5333333333333
96,,1201.5714285714287
97,,987.2666666666667
98,,1340.421052631579
99,,1133.8181818181818
100,,1215.846153846154
101,,1142.4285714285713
102,1296.719587406854,1070.909090909091
103,,1077.0833333333333
104,,1068.5333333333333
105,,1080.8124999999998
106,,1133.7857142857142
107,,1092.6470588235295
108,,1371.625
109,,1200.4444444444443
110,,1267.0
111,,1214.4166666666667
112,,1233.0
113,,1291.909090909091
114,,1287.1666666666667
115,,1296.0
116,,1348.8571428571427
117,,1284.6666666666667
118,,1367.0
119,,1375.1538461538462
120,,1398.232142857143
121,,1416.923076923077
122,,1444.0714285714287
123,,1541.375
124,,1556.7
125,,1546.5833333333333
126,,1592.642857142857
127,,1595.142857142857
128,,1643.5714285714287
129,,1868.5
130,,1463.625
131,,1642.6666666666667
132,,1702.4
133,,1737.8
134,,1781.8666666666666
135,,1728.6875
136,,1941.6666666666667
137,,1962.1666666666667
138,,1928.0
139,,1962.0
140,,1869.8125
141,,1986.3333333333333
142,,1813.2631578947369
143,,2066.6875
144,,2114.6250000000005
145,,2043.5882352941176
146,,2076.0
147,,2238.875
148,,2306.769230769231
150,,2197.9411764705883
151,,2234.294117647059
152,,1882.0
153,,2463.3529411764707
154,,2522.470588235294
155,,2594.6666666666665
156,,612.0
